,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
331,*R LINE*PAN ROOF*LEATHER*LOW KMS*,"€33,950",Wicklow,Volkswagen,Tiguan,Comfortline,Medium Trim,2018,"64,000 km",Diesel,Manual,SUV,2.0 litre,115hp,10.9 sec,5,5,Grey,Ireland,1,270,Mar 2024,5/5,Available,,
332,Volkswagen Polo  just IN  Low Kms  Trendline  80h,"€19,945",Galway,Volkswagen,Polo,Trendline,Base Trim,2020,"13,600 km",Petrol,Manual,Hatchback,1.0 litre,80hp,15.4 sec,5,5,Silver,Ireland,2,190,Aug 2024,5/5,12 Month,,
333,Volvo XC60 2013 2.0D NCT 03/24,"€12,499",Limerick,Volvo,XC60,SE,Medium Trim,2013,"162,000 mi",Diesel,Manual,SUV,2.0 litre,163hp,10.3 sec,5,5,Gold,Ireland,2,280,Mar 2022,---,,,
334,Audi A4 2.0 Ultra SE Technik 4DR,"€19,950",Dublin,Audi,A4,SE,Medium Trim,2015,"92,000 km",Diesel,Manual,Saloon,2.0 litre,136hp,9.3 sec,5,4,Silver,Ireland,1,190,Nov 2021,5/5,Available,,
335,"Chevrolet Cruze, 2012 BREAKING FOR PARTS","£1,234",Armagh,Chevrolet,Cruze,---,---,2012,---,Petrol,Manual,Hatchback,1.6 litre,---,---,5,5,Black,UK,2,---,---,---,,,
336,Kia Venga 2 1.4 Crdi eco Diesel,"€5,800","Kilbeggan, Westmeath",KIA,Venga,,,2010,"64,000 mi",Diesel,---,MPV,1.4 litre,,,5,5,Red,Ireland,---,---,Nov 2022,,,,
337,Mini Cooper 1.6 5 Speed Manual Only 133k KLM’s /80,"€2,750","North City, Dublin",Mini,Cooper,,,2007,"133,000 km",Petrol,Manual,Hatchback,1.6 litre,,,5,3,Black,Ireland,6,514,Jan 2022,,,,
338,Honda Civic Diesel 140bhp Low mileage,"€4,850",Kildare,Honda,Civic,,,2009,"147,000 mi",Diesel,---,Hatchback,2.2 litre,,,---,5,Grey,Ireland,1,280,May 2023,,3 Month,,
339,SEAT Arona 1.6tdi 95hp SE,"€18,895",Sligo,SEAT,Arona,SE,Medium Trim,2018,"47,730 km",Diesel,Manual,SUV,1.6 litre,95hp,11.9 sec,5,5,Black,Ireland,2,190,Mar 2024,5/5,2 Year,,
340,2010  Renault Fluence  1.5 DCI    LOW MILEAGE,"€4,250",Kerry,Renault,Fluence,,,2010,"148,000 km",Diesel,Manual,Saloon,1.5 litre,,,5,4,Red,Ireland,2,200,Sep 2023,,,,
341,KIA Sportage Top Spec,"€10,950",Kildare,KIA,Sportage,EX,Base Trim,2012,"179,000 km",Diesel,Manual,SUV,1.7 litre,115hp,12.3 sec,5,5,Silver,Ireland,1,280,Jun 2022,---,3 Month,,
342,Renault Clio 1.2 EXPRESSION,"€5,850",Kildare,Renault,Clio,EXPRESSION,Base Trim,2012,"166,000 km",Ethanol Petrol,Manual,Hatchback,1.1 litre,75hp,13.4 sec,5,2,White,Ireland,4,280,Feb 2023,---,3 Month,,
