,Price,Mileage,Year,EngSize,Power
258,36250.0,61828.0,2020,2.0,150.0
259,25950.0,30500.0,2020,1.0,115.0
261,13999.0,26000.0,2015,1.2,90.0
262,18950.0,101388.42,2018,1.6,90.0
263,9900.0,157715.32,2012,1.6,105.0
264,10790.0,78857.66,2013,1.2,60.0
265,10950.0,136793.9,2018,1.0,60.0
266,26900.0,51000.0,2019,1.6,115.0
267,7250.0,187845.38348,2012,1.2,60.0
269,38950.0,193120.8,2020,2.0,150.0
270,14999.0,24000.08742,2016,1.0,60.0
273,21950.0,55000.80384,2019,1.0,85.0
274,42500.0,148000.0,2019,2.0,240.0
275,11000.0,197566.0,2012,1.6,105.0
276,18950.0,84689.0,2016,1.2,110.0
277,7900.0,124401.982,2011,1.2,70.0
278,32950.0,101388.42,2016,2.0,300.0
279,15995.0,47174.0,2016,1.2,90.0
280,25500.0,163348.01,2019,2.0,150.0
281,12450.0,146449.94,2014,1.6,105.0
282,14950.0,148059.28,2015,2.0,150.0
283,7550.0,252000.0,2013,1.6,105.0
284,26950.0,53108.22,2016,2.0,300.0
285,18750.0,83211.0,2016,1.2,110.0
288,27990.0,106000.0,2019,2.0,150.0
290,6750.0,289681.2,2013,1.6,105.0
291,8750.0,241401.0,2012,2.0,170.0
292,7495.0,225307.6,2013,1.2,75.0
293,9550.0,260000.0,2014,1.6,105.0
294,9900.0,175418.0,2012,1.6,105.0
300,16350.0,164000.0,2015,2.0,150.0
302,9995.0,241000.0,2014,1.6,105.0
303,6495.0,289681.2,2011,1.6,90.0
305,8495.0,289681.2,2012,1.6,105.0
307,7495.0,266000.0,2012,1.2,75.0
308,8995.0,305774.6,2011,2.0,170.0
309,12995.0,228000.0,2015,1.6,90.0
312,14999.0,133160.0,2016,1.2,85.0
313,22999.0,184197.0,2017,2.0,115.0
314,14499.0,82000.0,2017,1.0,60.0
315,11500.0,144840.6,2013,1.2,60.0
316,12950.0,114263.14,2013,1.2,85.0
317,11750.0,160934.0,2012,1.4,90.0
318,9950.0,160934.0,2011,1.4,122.0
319,11250.0,128747.2,2011,1.4,90.0
320,13950.0,75638.98,2013,1.4,122.0
321,7950.0,373.36688,2013,2.0,140.0
322,14200.0,195000.0,2015,1.6,120.0
323,12250.0,142000.0,2014,2.0,140.0
324,17500.0,118000.0,2016,2.0,150.0
325,8750.0,239791.66,2012,2.0,140.0
326,12950.0,134003.0,2013,1.6,105.0
329,15995.0,145000.0,2015,1.6,120.0
330,15950.0,48328.0,2016,1.2,90.0
331,24950.0,185074.1,2019,2.0,150.0
333,10000.0,240000.0,2014,1.6,105.0
335,20000.0,56000.0,2016,2.0,140.0
337,95995.0,17400.0,2021,3.0,462.0
338,40995.0,35000.0,2020,1.5,150.0
339,11995.0,176004.0,2013,1.6,105.0
341,11680.0,42877.64562,2013,1.2,60.0
342,9750.0,192699.15292,2013,1.6,105.0
344,12000.0,181855.42,2013,2.0,140.0
346,25250.0,63000.0,2016,2.0,300.0
347,16950.0,140899.0,2016,2.0,150.0
348,18950.0,123260.0,2015,2.0,110.0
350,25950.0,120700.5,2014,2.0,300.0
351,22995.0,30011.0,2019,1.0,95.0
356,10995.0,94800.0,2012,1.4,122.0
357,13500.0,93933.0,2017,1.0,60.0
359,33500.0,40891.0,2021,1.5,150.0
368,32000.0,20000.0,2021,1.5,130.0
371,32950.0,16520.0,2021,1.5,130.0
373,20995.0,94470.0,2017,1.6,110.0
374,23945.0,70208.0,2018,1.0,110.0
375,12990.0,78857.66,2014,1.2,90.0
